"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"33","3_181_9",0,0.164931070090202,0.0896571815533124,0.13713717917714,0.0780596706723823,0.0896571815533124,0.0548452663574571,0.721764515084844,0.974401983543898,0.861794270784101,0.307814872885365,0.0291433077989876,0.868972079662816,0.9738575192738,0.118731290713192,0.828528260710654,0.0294395569064132,0,0.112020270117296,0.873304989803808,0.0427551198945633,0.00976922654605974,0.365993908946646,0.397525779075892,3,16,FALSE
"34","3_181_11",0,0.192368951994592,0.08609034175773,0.139886559571889,0.0786450557261951,0.08609034175773,0.107456147070052,0.826664141654995,0.719739512790971,0.795301233063505,0.360700574585232,0.101078024055319,0.842119687544598,1,0.112174594014936,0.87369305891013,0.0187486901294431,0.0664061040897733,0.0572143702183625,0.74004937879503,0,0.0521982129032878,0.376910545363351,0.186547964266479,3,16,FALSE
"35","3_182_1",0,0.172922317981296,0.0986282044564416,0.123329160818655,0.0761239621748278,0.0986282044564416,0.0781993611600179,0.839056136237651,0.95363795673054,0.0858668942106898,0.564139015826604,0.133991510774831,0.866650607872269,0.96362363521848,0.0776704663490387,0.945077433059838,0.021642514920737,0.0204471443278942,0.0961694131977344,0.954593216364426,0.511912652426376,0.104904336468451,0.244383676361696,0.36160309798863,4,21,FALSE
"36","3_182_2",0,0.206957068113207,0.0838642201059806,0.140041028485777,0.0778274139607433,0.0838642201059806,0.132323626264656,0.571772035318972,0.913972624475016,0.422404806909719,0.102768260875739,0.0861622659195706,0.994812326994964,0.961124315376025,0.086050090417725,0.988925658722686,0.0465990198235116,0.19996288155835,0.0570955999318924,0.892247351863375,1,0.182240870086211,0.401455107082272,0.0684636659667663,4,21,FALSE
"37","3_182_5",0,0.153486801019716,0.102326942864005,0.12220793928855,0.076820544190505,0.102326942864005,0.0900717837205272,0.327736178002378,0.947480519613622,0.212544107567204,0.0224114338402556,0.0912972884485259,0.943866264849933,0.983708409422304,0.185057022119977,0.922884548495208,0.00990079614983654,0.178399120805417,0.113489884631844,0.929975532873357,0.484931977065492,0.0748132384145567,0.284157356667589,0.284984336154857,4,21,FALSE
"38","4_88_8",0,0.13766663089677,0.146733294413691,0.0559359104697017,0.0760954080391282,0.146733294413691,0.820308325461792,0.3800479575565,0.504275088728557,0.467243937341801,0.385875173479131,1,0.753631541820511,0.320102682782472,0.920503146352787,0,0.345762376153953,0.689187242866296,0.609922115243388,0.528637203765576,0.0379322436407958,0.742666049576927,0.22600544723687,0.144233508004751,1,38,TRUE
"39","4_110_4",0,0.12542445734692,0.147124663465561,0.0519982371320676,0.0757881131997725,0.147124663465561,0.974647351172587,0.558702441935554,0.350048498806345,0.65024492606426,0.528459638958128,0.928738258667974,0.811619841969643,0.699868395165109,0.123743227220131,0.39970789102251,0.177765695271246,0.744398256841352,0.251761058468655,0.290538244720739,0.0695041266988643,0.866245184871149,0.0712025805772175,0.490151874526546,2,32,TRUE
"40","4_113_1",0,0.134708739713069,0.148393558646548,0.052331312734637,0.0759385258948648,0.148393558646548,1,0.558702441935554,0.350048498806345,0.65024492606426,0.528459638958128,0.928738258667974,0.813560401729722,0.47215174639852,0.123743227220131,0.39970789102251,0.177765695271246,0.744398256841352,0.120873915186916,0.3671568410822,0.0695041266988643,0.866245184871149,0.0712025805772175,0.490151874526546,2,32,FALSE
"41","4_124_9",0,0.0871751536895354,0.11820797956014,0.118019170100221,0.0802332366635011,0.11820797956014,0.320669294206545,0.906158839745569,0.704003378869044,0.118336078677466,0,0.125926056038704,0.989646978198524,0.0731699827373543,0.545177073788325,0.387148078501179,0.0547879226287054,0.970041736695159,0.743229570117292,0.0524550527638646,0.0283336645623946,0.834294958980074,0.320899411457875,0.859983720116591,1,38,FALSE
"42","4_144_4",0,0.122061284816808,0.115129753834172,0.11850408939493,0.0794173155371638,0.115129753834172,0.118134062449141,0.990515618284301,0.318654643196997,0.717430498092046,0.163815637249852,0.134934145034223,0.984430190051393,0.264757049336493,1,0.405418572328974,0.064782509188558,0.838481910536138,0.665224896834668,0.691530919275458,0.210020288082312,0.799832996401535,0.290466787866456,0.749941262152226,1,38,FALSE
"43","4_145_9",0,0.147710518096306,0.0969722600253499,0.137486735984586,0.0821974543188603,0.0969722600253499,0.0641796790627573,0.140725376359689,0.28827657364936,1,0.0840341434988206,0.289734614472869,0.948268532035998,0.495152552192287,0.635524760854192,0.431210436466474,0.0386141821180014,0.73784648601622,0.537840860954512,0.555156906317253,0.0516187505269501,0.678241680290138,0.395569583302601,0.919133480724201,1,38,FALSE
"44","4_147_1",0,0.196047237323915,0.095901884032505,0.137983039423507,0.0793349059162276,0.095901884032505,0.68315156318537,0.990515618284301,0.318654643196997,0.717430498092046,0.198355252774983,0.0748228141875592,0.665503910347484,0.264757049336493,1,0.405418572328974,0.064782509188558,0.886096799793789,0.695283386202277,0.691530919275458,0.210020288082312,0.799832996401535,0.290466787866456,0.542614492336473,1,38,FALSE
"45","4_148_6",0,0.140920079267194,0.0985278407000777,0.13740830388933,0.0821835326735571,0.0985278407000777,0.0641796790627573,0,0.28827657364936,1,0.0840341434988206,0.289734614472869,0.948268532035998,0.278148874839427,0.014974498234982,0.431210436466474,0.0386141821180014,0.73784648601622,0.537840860954512,0.249679921451325,0.0516187505269501,0.678241680290138,0.395569583302601,0.919133480724201,1,38,FALSE
"46","4_150_6",0,0.198652697740069,0.0946004155474931,0.138220164951909,0.0789921979770382,0.0946004155474931,0.826566051901228,0.0322758276717706,0.763388122669954,0.36670397623173,0.234206335382294,0.0864274032578961,0.609765446355354,0.386238824633755,0.199473078101543,0.460855106259995,0.00484695645970241,0.904755041140008,0.756970569503887,0.268768309282668,0.0989413925319215,0.98365298590647,0,0.49998034493763,2,32,FALSE
"47","4_151_7",0,0.174430232098638,0.0896150491141157,0.136472105252262,0.0772863845127281,0.0896150491141157,0.590371079836822,0.112323064341932,0.805500249952069,0.238045428906946,0.585917870967025,0.078270942402216,0.362439433524918,0.458094953878492,0.474685720187043,0.479372217959374,0.167480196157945,0.781255487354632,0.921887797078877,0.262432156836109,0.143473229131763,0.961150374534931,0.044890474270462,0.31129144306152,2,32,FALSE
"48","4_152_6",0,0.18269632187758,0.0949967931895506,0.137571274095769,0.0790230735710153,0.0949967931895506,0.508209187617248,0.990515618284301,0.318654643196997,0.717430498092046,0.154407327212193,0.125684297838533,0.622956166906423,0.264757049336493,1,0.405418572328974,0.064782509188558,0.896929490374482,0.854010931882949,0.691530919275458,0.210020288082312,0.799832996401535,0.351471662130404,0.519875631937141,1,38,FALSE
"49","4_153_3",0,0.134546259504953,0.118820056230145,0.118321940984017,0.0797881982249823,0.118820056230145,0.421848645745482,0.731382237374458,0.715880327749772,0.168009658188318,0.0468412670878715,0.118026325479527,0.913670671857645,0.135783751140932,0.476036274504245,0.401889484074966,0.00484695645970241,0.956984397453808,0.74597777003602,0.0957177040903465,0.0424552101433217,0.864166564365353,0.256719529130487,0.787983045120896,1,38,FALSE
"50","4_154_3",0,0.346635218494786,0.0837042949600422,0.140019063336343,0.0763010387034773,0.0837042949600422,0.815580873958239,0.747892890515589,0.922121722704697,0.0653797281900318,0.123349025208673,0.0348646263909978,0.365549745734813,0.388717267294432,0,0.469292168415586,0.932944202856835,0.986389473802904,0.866757266016019,0.0628537679298403,0.350647097795599,0.763584045008424,0.359950788199347,0.218393774618367,2,32,FALSE
"51","4_154_11",0,0.146556445403049,0.113710492663528,0.117175614895519,0.0776509651350001,0.113710492663528,0.182828647615625,0.312328337366119,0.40339203846586,0.853804314828323,0.0589449928053918,0.247980382639539,0.749756452070899,0.397744758720843,0.579446717792096,0.434411123561143,0.174632711378942,0.946161888136185,0.639393832310662,0.442996030569969,0.068713287372659,0.73906283870194,0.387104467777222,0.690171597227959,1,38,FALSE
"52","4_156_1",0,0.101163679873612,0.118278737845676,0.11794241948996,0.0800925982947252,0.118278737845676,0.351822282883202,0.836586391835672,0.52868683436812,0.0742373540166944,0.0303343522455903,0.246270712850678,0.929977842214791,0.09717233125369,0.543911584901493,0.371087092849031,0.00468829891370605,0.920998859643149,0.78882521967547,0.158004883855127,0.0538302656915098,0.853408950253033,0.252219613588417,0.803344361866638,1,38,FALSE
"53","4_157_2",0,0.134260990870346,0.117410012083994,0.118328931388844,0.0785674055045083,0.117410012083994,0.577829389986757,0.869170730996009,0.701615631548957,0.158049918109732,0.420334796901341,0.0772624343955195,0.681637681400573,0.0640552836127173,0.543505953553776,0.400779432597482,0.0502938423539693,0.915417608516308,0.924221146652268,0.119530938227274,0.0526785870570897,0.862160889736325,0.0627658806663356,0.575233872228775,1,38,FALSE
"54","4_157_8",0,0.100698080341609,0.1181884683762,0.117799865985417,0.0796444412315148,0.1181884683762,0.293101164929284,0.787392739311249,0.6438811110295,0.265429725886691,0.0117889985579711,0.150336921364901,0.941668872889736,0.13808493795835,0.552031002405676,0.396600687579243,0.0787568803875481,0.965265767113685,0.72246242247315,0.130563248302364,0.068713287372659,0.815248534863066,0.334140422645003,0.826021295518816,1,38,FALSE
"55","4_158_8",0,0.211301649427745,0.0972457258774873,0.143208199908634,0.0839669876716772,0.0972457258774873,0.189004808965951,0.141757316155248,0.763388122669954,0.36670397623173,0.234206335382294,0.0864274032578961,0.652475705927355,0.503015885331617,0.199473078101543,0.460855106259995,0.00484695645970241,0.904755041140008,0.274429253682079,0.732058986427087,0.0989413925319215,0.98365298590647,0,0.49998034493763,1,38,FALSE
"56","4_159_2",0,0.11049303191915,0.108253041220325,0.126161169217079,0.0757552626136333,0.108253041220325,0.0127464725357294,0.671972435829626,0.891028175797495,0.146770486353022,0.158273551868705,0.226488838769554,0.942800407188125,0.123421704183245,0.359807149639533,0.356293039327798,0.124364589292817,0.9386549708313,0.938360753014337,0.513676428527897,0.0212092718869874,0.990452152137756,0.194220696515373,1,1,38,FALSE
"57","4_159_9",0,0.130378533702608,0.0900820868322392,0.135890382794831,0.0775630311656935,0.0900820868322392,0.846631310587904,0.303408700543348,0.805500249952069,0.238045428906946,0.585917870967025,0.0628984788305169,0.727147725480834,0.313159671781363,0.474685720187043,0.479372217959374,0.167480196157945,0.781255487354632,0.705037872560216,0.160733995270079,0.143473229131763,0.961150374534931,0.044890474270462,0.31129144306152,2,32,FALSE
"58","4_160_5",0,0.100733905880686,0.117804067345912,0.117673870008664,0.0797257081999505,0.117804067345912,0.293101164929284,0.940261248147671,0.6438811110295,0.265429725886691,0.0117889985579711,0.150336921364901,0.941668872889736,0.0221367122603984,0.552031002405676,0.396600687579243,0.0787568803875481,0.965265767113685,0.72246242247315,0.0492047190495403,0.068713287372659,0.815248534863066,0.334140422645003,0.826021295518816,1,38,FALSE
