"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"22","facebook_S",290924.905627056,3128785.0556948,0.010973062346216,19928.5672337249,0.0110474850623177,3128785.0556948,0.010973062346216,19928.5672337249,0.0110474850623177,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,334078.021992166,2127.88549039596,2201.1283727424,73.2428823464392,4691.7723474782,0.0265630827769259,0.109403886984675,2.20489888607922,9.36543217370991,0.106775638481173,3,FALSE,11.6381693713839,0.252575729506616,9.48507985399002,13.7918992450005,0.000140236881478074
"23","search_S",0,0,0,0,0,0,0,0,0,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,809960,5158.98089171975,5617.09317933322,458.112287613478,0,0.0644012269879381,0,0,0,Inf,3,FALSE,2.47048158969685,0.540351164811127,0,7.08265678757496,0
"24","newsletter",0,0,0,0,0,0,0,0,0,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,0
"25","(Intercept)",780428.306354305,122527244.097626,0.425892467880559,780428.306354305,0.428450459887582,122527244.097626,0.425892467880559,780428.306354305,0.428450459887582,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"26","trend",0,0,0,0,0,0,0,0,0,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"27","season",0.363045664075165,171282.679460666,0.000595361493665648,1090.97248064119,0.000598937349208866,171282.679460666,0.000595361493665648,1090.97248064119,0.000598937349208866,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"28","holiday",0.545888213511501,-668814.236113515,-0.00232473151314072,-15200.3235480344,-0.00834488647012088,-668814.236113515,-0.00232473151314072,-15200.3235480344,-0.00834488647012088,FALSE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"29","competitor_sales_B",0.141927196886881,123652215.157305,0.429802754971641,787593.72711659,0.432384232914383,123652215.157305,0.429802754971641,787593.72711659,0.432384232914383,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"30","events",0,0,0,0,0,0,0,0,0,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"31","tv_S",464295.795448134,8621933.10603941,0.0299689786991901,54916.7713760472,0.0301489781444789,8621933.10603941,0.0299689786991901,54916.7713760472,0.0301489781444789,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,2591412.14666667,16505.80985138,24409.0917075663,7903.28185618627,25270.2056809636,0.206047362680601,0.231035016395685,1.53098853727863,3.32711765557239,0.300560456082808,3,FALSE,2.90016232919491,0.0883378404256542,2.14686071303779,3.65316191168573,0.144429120193222
