"","solID","mape","decomp.rssd","nrmse","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"49","1_181_4",0,0.110016586126625,0.0551236361313559,0.484470221625038,0.831902709197807,0.567065977376702,0.394196547543732,0.632145930237381,"1",FALSE
"50","1_182_9",0,0.229138795770184,0.0524218478476937,0.322355481051106,0.204210057788806,0.636728874699869,0.027994375631313,0.298293862202429,"2",FALSE
"51","1_183_8",0,0.0448976625135001,0.0618001722408665,0.582731084418527,0.715941341548645,0.423645363816099,0.668076242449299,0.582346942347611,"3",FALSE
"52","1_184_3",0,0.171461757637449,0.0537188377864978,0.20523490048136,0.263449350758765,0.708484778659724,0.186013135521491,0.640614993366172,"2",FALSE
"53","1_184_4",0,0.101681704638378,0.0551078237826448,0.481234470501177,0.595202742794575,0.559404847211,0.40216181638775,0.629908938025497,"1",FALSE
"54","1_184_5",0,0.0939558317046268,0.0561223785467443,0.573420884605235,0.55628340480876,0.650014382934011,0.516344436343908,0.765440909397333,"1",FALSE
"55","1_184_8",0,0.0582873743659602,0.059233392327178,0.558204086809767,0.901657538848664,0.459121457132892,0.657082882819643,0.604342357051917,"3",FALSE
"56","1_185_1",0,0.0557844430132572,0.059035572308524,0.753133958409846,0.895374618713385,0.605216231786887,0.712605630327364,0.578363503245911,"3",FALSE
"57","1_185_3",0,0.0622419967897413,0.0589511039385444,0.665040777589238,0.678526453508051,0.667531621409708,0.704561501660867,0.696652313130447,"3",FALSE
"58","1_185_9",0,0.0736895107387756,0.0576089476240264,0.505641385685903,0.549370109357907,0.467602058558819,0.545275420310446,0.712882170894019,"1",FALSE
"59","1_186_4",0,0.144062696646887,0.0543609893262979,0.466010915619039,0.296902563349806,0.82095030641747,0.356399756462853,0.61543487195972,"1",FALSE
"60","1_187_4",0,0.105243251292767,0.0551198451641886,0.486708258257684,0.58596130119548,0.556630712287745,0.386769963156192,0.642143281363227,"1",FALSE
"61","1_187_5",0,0.0929110128793653,0.056106634969867,0.576888499418919,0.564950370298054,0.647665752045994,0.518356594287926,0.762964149051394,"1",FALSE
"62","1_188_1",0,0.0420350801837556,0.0592122355649197,0.726987225479558,0.876132140668857,0.398736606978849,0.723453745781278,0.603426214114406,"3",FALSE
"63","1_188_3",0,0.0575099823808655,0.0590987705647419,0.649064331152212,0.874003604557148,0.568830892940922,0.667407703992911,0.613811437831082,"3",FALSE
"64","1_189_1",0,0.0780928919077375,0.0571925568940438,0.221241159261017,0.37534516952659,0.359758165437236,0.4356828328803,0.496567059713995,"4",FALSE
"65","1_189_9",0,0.0987681219973364,0.0560229921479755,0.306726902456608,0.655168708143137,0.506599647856928,0.427798665778184,0.650103395260051,"1",FALSE
"66","1_190_1",0,0.086884677900322,0.0570741301213674,0.756753301201672,0.771910467646219,0.736196841340137,0.558929153561879,0.768778511218991,"3",FALSE
"67","1_190_10",0,0.0623182740962322,0.0575544596091232,0.541074663502536,0.596540317120938,0.406722830865897,0.563323015036616,0.619688341545441,"1",FALSE
"68","1_190_4",0,0.101506259261616,0.0551102867186785,0.480838267878851,0.596941320674799,0.55870628394511,0.403202128210833,0.637559089555814,"1",FALSE
"69","1_190_8",0,0.0389789476674454,0.0596910729004009,0.648355165557375,0.747474097344083,0.284261745606223,0.697880868425608,0.741581882179225,"3",FALSE
"70","1_191_1",0,0.0523465925880271,0.059197619854011,0.74003030914252,0.784903207607382,0.417581802251389,0.678919275492678,0.569402290172748,"3",FALSE
"71","1_191_9",0,0.147913474887719,0.0543121354799879,0.185810926084045,0.285638802175628,0.54611300640986,0.215964613004269,0.517460696041676,"2",FALSE
"72","1_192_5",0,0.0418584247003518,0.0610112716339451,0.803928637911704,0.937119228145083,0.532415985800369,0.763592660889441,0.73002210739665,"3",FALSE
"73","1_192_9",0,0.133483587003306,0.054654245107583,0.378595404471835,0.573536730454845,0.541561186162987,0.275191001941173,0.443620163550756,"1",FALSE
"74","1_193_1",0,0.0870168023565404,0.0570729156400191,0.756400297325397,0.76967940894085,0.736695446271609,0.558906828886474,0.770254420892034,"3",FALSE
"75","1_193_10",0,0.0926209779710462,0.0557241513751263,0.528802175287211,0.47437394268624,0.461911888040096,0.450331476097717,0.528680569518011,"1",FALSE
"76","1_193_4",0,0.101916104050406,0.0551005057175842,0.462908982062668,0.599426158700914,0.559783072545419,0.400142167168735,0.632555355358896,"1",FALSE
"77","1_193_5",0,0.08922352067909,0.0561935828599311,0.569680227653134,0.593654479907117,0.587350596090807,0.525770689843435,0.805488932191816,"1",FALSE
"78","1_193_8",0,0.0493501461318363,0.0593527905360534,0.556341287175685,0.830252983903992,0.427902367067072,0.666368308262312,0.668755580644352,"3",FALSE
"79","1_194_10",0,0.0637102258719648,0.0581460933049135,0.48221214619521,0.59797742817119,0.517173102482684,0.584710920171939,0.568696043319108,"1",FALSE
"80","1_194_2",0,0.183813216774537,0.0535101221378875,0.42206501596371,0.323832389664195,0.697685415562285,0.138846888498711,0.446367389104955,"2",FALSE
"81","1_194_9",0,0.134280059102264,0.0545713503542545,0.179367321633702,0.348201873288045,0.396457364647845,0.229146945459409,0.572331541489781,"4",FALSE
"82","1_195_3",0,0.107037907777713,0.0556017926155395,0.422699786012134,0.794183728888444,0.577245366716434,0.451914749990809,0.856525063935643,"1",FALSE
"83","1_196_5",0,0.0897555641784271,0.0563611746875134,0.688710862352488,0.594117894435098,0.589239271673573,0.544259093265933,0.793559371170909,"3",FALSE
"84","1_196_6",0,0.0345807403857909,0.0632280249447531,0.796635290220911,0.809747694778465,0.477571579327263,0.822401749042225,0.673562543389946,"3",FALSE
"85","1_197_1",0,0.0320851688194565,0.0648870608482715,1,0.907304945246626,0.307615377347976,1,0.715567682456606,"3",FALSE
"86","1_198_7",0,0.100201046125975,0.0555934535376775,0.611897055639812,0.597384064823241,0.624828933663633,0.470091497655667,0.46940956735751,"1",FALSE
"87","1_199_8",0,0.0495045087096105,0.0593569383384313,0.557007813615343,0.829455829819095,0.428708851011783,0.666037442118384,0.675957952995095,"3",FALSE
"88","1_200_4",0,0.0864557443235551,0.0562720238877499,0.484964163183594,0.573664276020024,0.509297301857381,0.46791658538037,0.664076245991084,"1",FALSE
"89","1_200_5",0,0.102132750679703,0.0557116916563157,0.434455415124625,0.407446790909255,0.509476936956776,0.45602505889634,0.761394300983729,"1",FALSE
"90","1_200_6",0,0.0786018326767895,0.0570897876558468,0.68245687586636,0.709979736393582,0.682788054503946,0.584711687383292,0.586361739985604,"3",FALSE
"91","1_200_8",0,0.135845100292867,0.0540532358224691,0.40420235816517,0.490275279529555,0.699047585746643,0.285900010970641,0.583196006314976,"1",FALSE
"92","1_200_9",0,0.0791010978942606,0.0566761162899168,0.573835024031377,0.570435555431517,0.485418187436555,0.51321443274096,0.62687225608385,"1",FALSE
"93","1_74_10",0,0.0425243795761734,0.0638485134264897,0.877032515926406,0.835079326151958,0.607537632542143,0.931280056029878,0.819878426936573,"3",FALSE
"94","1_86_10",0,0.0420307808706771,0.0638664385440194,0.875247840017428,0.830811635034751,0.596489848840233,0.93191835081322,0.815479994042709,"3",FALSE
"95","1_92_10",0,0.0433965963251084,0.0638014539216148,0.872621029717971,0.827505810091409,0.586945428368141,0.933472215095766,0.843307190524394,"3",FALSE
"96","2_141_3",0,0.165710406605135,0.0540305516191655,0.255669356668555,0.301128239501294,0.326089629343035,0.120190064732354,0.568388892957382,"4",FALSE
"97","2_152_8",0,0.169422253470588,0.0539055051052638,0.161406368716115,0.199866642874564,0.290369368534322,0.124114875350086,0.329351058534607,"4",FALSE
"98","2_156_5",0,0.115337343946651,0.0550581937083722,0.126791170237665,0.179638473966271,0.215850430190511,0.265971497318424,0.537409245038828,"4",FALSE
"99","2_167_2",0,0.164250701601898,0.054098079011053,0.0409362634850157,0.101206900036044,0.192094768530593,0.109918787501829,0.476390823972766,"4",FALSE
"100","2_168_5",0,0.116809240458757,0.0550138731290307,0.121755362047793,0.176821005204177,0.220359353578703,0.254177488589783,0.49320205135817,"4",FALSE
"101","2_174_5",0,0.129131212289355,0.0545181901614904,0.0598746194845925,0.163929486208816,0.227368334497203,0.207628371019015,0.437530042494219,"4",FALSE
"102","2_175_8",0,0.16576338537689,0.0539689302275497,0.169058517398393,0.353279539204177,0.625175648270028,0.172216113737092,0.429281721318869,"2",FALSE
"103","2_177_7",0,0.198714425624895,0.0532874930125407,0.0202226284550525,0.246922454368661,0.485450368609328,0.06793908029351,0.334404274229528,"2",FALSE
"104","2_178_8",0,0.162452026209,0.0541862259071029,0.209070702555351,0.341668578592215,0.689513802948303,0.194039111867916,0.488109433530707,"2",FALSE
"105","2_180_5",0,0.114905698249271,0.0550454284138441,0.12647510893033,0.209408758519043,0.217531707647631,0.263132709077585,0.539324037497192,"4",FALSE
"106","2_181_8",0,0.162810793559626,0.0539666011203603,0.166149839344506,0.359997247770408,0.627410946469511,0.183947213124682,0.425713883785343,"2",FALSE
"107","2_182_4",0,0.131726833207161,0.0542907272222859,0.243587636834474,0.201956420637881,0.130248931349027,0.218953126674691,0.539698073130985,"4",FALSE
"108","2_184_1",0,0.181189844604431,0.053235017716869,0.299125819562727,0.318896551956929,0.458210631187686,0.115851199309462,0.342389100582117,"2",FALSE
"109","2_187_5",0,0.124852628053419,0.0549956174845042,0.184557669134411,0.155064007433068,0.0223074166440457,0.226360149616379,0.534166444903629,"4",FALSE
"110","2_189_5",0,0.184534385278682,0.0535827434057379,0.131117093187432,0.171389460220159,0.537304016787097,0.106990828587156,0.454546308932713,"2",FALSE
"111","2_191_9",0,0.156760387983326,0.0542314767365177,0.317967139942085,0.137696164764799,0.571830255243553,0.258043450563078,0.580804685742624,"2",FALSE
"112","2_193_1",0,0.213765788164114,0.053040001012297,0.14005976350191,0.315902931886105,0.483299508669839,0.0302601946733714,0.290236457532484,"2",FALSE
"113","2_193_4",0,0.138629895784101,0.0544787912895848,0.187355674772146,0.213454926545381,0.0225087191166591,0.183462118836,0.581589916563745,"4",FALSE
"114","2_195_5",0,0.185770614201922,0.0535078481645294,0.129712142985947,0.171596046632004,0.541949036056626,0.107850458166199,0.40793157658334,"2",FALSE
"115","2_199_5",0,0.122534331966817,0.0550375321298899,0.183744972456175,0.218342588736874,0,0.222996517150943,0.542128435799615,"4",FALSE
"116","3_100_5",0,0.0364406435021255,0.0665264985906939,0.303942355452837,0.337477158594137,0.1652525580323,0.622067343388243,0.484298833250604,"4",FALSE
"117","3_137_8",0,0.0629919851708039,0.0580780771937419,0,0.149044585223934,0.0893253643140016,0.402352147789606,0.466452592909893,"4",FALSE
"118","3_157_2",0,0.173239379204416,0.0537124184693838,0.339898514722678,0.358292295708462,0.506660464689848,0.12080977236381,0.50310390567497,"2",FALSE
"119","3_163_2",0,0.174228696744195,0.0535696535488217,0.362395370027443,0.57398150664802,0.64267957997229,0.123724457399763,0.553713517370967,"1",FALSE
"120","3_174_7",0,0.15022233469686,0.0541406866320851,0.438194323517402,0.428274966020673,0.509278309538188,0.202779338508674,0.546614708590968,"1",FALSE
"121","3_189_3",0,0.0757619190219559,0.0570394169259978,0.180660783524769,0.326599615594731,0.0605455122651222,0.362309662746531,0.477986779565228,"4",FALSE
"122","3_190_1",0,0.049271350224266,0.0591584450504695,0.331302915250485,0.409145483890546,0.15822648153202,0.564694089721509,0.648207936902514,"4",FALSE
"123","3_192_1",0,0.132592341385107,0.0547722886543325,0.474878547400042,0.4026989498603,0.458303943975536,0.273389288091064,0.584333934927407,"1",FALSE
"124","3_194_4",0,0.16371372294372,0.0538591623162988,0.381481994257232,0.489217102924218,0.637763223605874,0.160168056522521,0.607608074331096,"1",FALSE
"125","3_197_1",0,0.193030355791692,0.0533307943310375,0.313332560065066,0.318683063464802,0.801610223515347,0.111666796475505,0.482660458732225,"2",FALSE
"126","4_115_4",0,0.0453357204880262,0.0607170120833957,0.14849883973799,0.322897024958065,0.0858922725872858,0.47465769777789,0.402054211851889,"4",FALSE
"127","4_137_10",0,0.283500711327325,0.0519493953332771,0.446692068569257,0.288188836750508,0.579695862690949,0,0,"2",FALSE
"128","4_175_2",0,0.270519766344454,0.0517415273225706,0.335719664128291,0.404812784816914,0.840918236791428,0,0.0518440165272437,"2",FALSE
"129","4_179_7",0,0.185398952691058,0.053475581615124,0.315314440024159,0.401914333081194,0.604596604731311,0.097764059673346,0.43289509952163,"2",FALSE
"130","4_180_2",0,0.050135746694831,0.0593055120165442,0.352105071639097,0.472280066411491,0.0842339525190062,0.513709465151454,0.59692505244834,"4",FALSE
"131","4_183_1",0,0.0627949249745987,0.0587747538443055,0.29972224205991,0.296630226691929,0.0937253605637717,0.52237993244262,0.653136869101252,"4",FALSE
"132","4_184_2",0,0.202396214122809,0.0531901124717659,0.484312074860343,0.511007574583544,0.825326597268139,0.0637366957861618,0.465137812155762,"2",FALSE
"133","4_185_5",0,0.211922554226825,0.0529395999748661,0.385512809262715,0.223864579999588,0.708596748213649,0.0761121550701024,0.380226635494245,"2",FALSE
"134","4_186_2",0,0.235519659895673,0.0522357648320983,0.251672858867788,0.45133800748475,0.707260209258432,0,0.255114169065273,"2",FALSE
"135","4_186_9",0,0.200785814511764,0.0532613483599355,0.605320635557178,0.553613706364338,0.903161828465461,0.124915824184554,0.32619217887396,"2",FALSE
"136","4_188_4",0,0.148521521090554,0.0542773916853108,0.401275392041153,0.374799604291219,0.710547610722874,0.259401142084161,0.655753584289325,"1",FALSE
"137","4_189_1",0,0.0586078619930778,0.0587732192695177,0.304090980057991,0.334015953116253,0.0850126818960535,0.596197567979541,0.708135498875824,"4",FALSE
"138","4_191_3",0,0.171547819848412,0.0536532775858961,0.363300908914121,0.33080626951144,0.265242496234799,0.119867012456755,0.43096625665876,"4",FALSE
"139","4_192_9",0,0.284385817945177,0.0517487312749016,0.701799929170189,0.506380921266529,1,0,0,"2",FALSE
"140","4_194_5",0,0.215664238331056,0.0529412122267253,0.384229167720254,0.15896048277921,0.700992880428013,0.0836610356038892,0.379669778980528,"2",FALSE
"141","4_196_4",0,0.218738001531965,0.0528788568055546,0.175004162383048,0.217548246723874,0.499878544803821,0,0.40980320093127,"2",FALSE
"142","4_200_10",0,0.161148124390649,0.0540340870888198,0.504316441424353,0.415691490492242,0.677900684128276,0.20181456261805,0.548372878521885,"1",FALSE
"143","5_108_4",0,0.159102311409538,0.0539026480718269,0.312456168324172,0.533387669573189,0.631496328664184,0.184338198534937,0.704885236560217,"1",FALSE
"144","5_132_4",0,0.17050395409988,0.053843764866608,0.304372349452791,0.421933661049158,0.657472504915452,0.144347007931006,0.618358727415546,"2",FALSE
"145","5_134_7",0,0.26081284129877,0.051944492260108,0.255364522679624,0.354861673545347,0.806387986897097,0,0.113876246830763,"2",FALSE
"146","5_148_6",0,0.288013223042796,0.0514074412562904,0.416373127966737,0.29400936478224,0.86116841734096,0,0,"2",FALSE
"147","5_149_2",0,0.22775672883219,0.0525104487570949,0.246401842688359,0.15404787373066,0.280965848823109,0.0120207957769244,0.253947735420418,"2",FALSE
"148","5_149_7",0,0.226788254437595,0.0521923422786987,0.202032123529266,0.364579066618395,0.656920699392603,0,0.334580581430671,"2",FALSE
"149","5_152_7",0,0.22137126386994,0.052360318237779,0.117688435929853,0.257247830865617,0.553663152297827,0,0.385118986075964,"2",FALSE
"150","5_154_9",0,0.128839374086937,0.0547046297721432,0.258724137724402,0.365567856578778,0.483071870827363,0.264690137489242,0.51785543102574,"4",FALSE
"151","5_155_7",0,0.216466581535883,0.0527497691892248,0.048629038783087,0.224806334921709,0.570290680160169,0.0222908288261641,0.388883642634389,"2",FALSE
"152","5_157_4",0,0.199505347353311,0.0530604894086006,0.400455580044654,0.553037033302506,0.737473167517671,0.0674187059893695,0.418471237975118,"2",FALSE
"153","5_164_2",0,0.242578360664663,0.052111901218587,0.0890090965755481,0.174489528112273,0.779029616489868,0,0.341485866390688,"2",FALSE
"154","5_165_7",0,0.148579800891781,0.0542823996471087,0.412088974455606,0.322418699109397,0.336602638562572,0.200444845332164,0.584535692844196,"4",FALSE
"155","5_166_10",0,0.223855176211236,0.0524479049994903,0.147379567339552,0.249211429820447,0.49068721335171,0,0.314376939522404,"2",FALSE
"156","5_167_10",0,0.178313612513664,0.0536261055444258,0.154740280834217,0.290118128631259,0.340183743030041,0.0794073370560402,0.505521708955303,"4",FALSE
"157","5_168_4",0,0.215957020302029,0.0527022892972477,0.123330469443241,0.438183013316273,0.543545972597984,0.00296413514630939,0.455067778609836,"2",FALSE
