"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"2018","trend",-0.626967159175683,-103845706.613027,-0.629029227927487,0,0,-103845706.613027,-0.629029227927487,0,0,FALSE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019","season",0.350515398737694,-2824597.18074239,-0.0171095584185246,-30702.143268939,-0.00698895977339426,-2824597.18074239,-0.0171095584185246,-30702.143268939,-0.00698895977339426,FALSE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","holiday",1.07652226854394,4889135.04272561,0.0296151756434111,305570.940170351,0.0695594112131392,4889135.04272561,0.0296151756434111,305570.940170351,0.0695594112131392,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021","competitor_sales_B",0.169526524214875,82977277.1192266,0.502621959676519,901926.925208986,0.205312409091778,82977277.1192266,0.502621959676519,901926.925208986,0.205312409091778,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","events",0.966912548959513,1230696.27088406,0.00745475138391835,1230696.27088406,0.28015264781781,1230696.27088406,0.00745475138391835,1230696.27088406,0.28015264781781,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023","tv_S",370834.636172558,6795883.57029941,0.0411650084990061,73868.2996771675,0.0168151965955762,6795883.57029941,0.0411650084990061,73868.2996771675,0.0168151965955762,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,10247935.1,256198.3775,0.311135800761756,0.342733646184935,0.581969794219186,0.663146624562387,1.50796213531194,149099.717032964,0.584246211394202
"2024","ooh_S",288147.030108809,6451165.95179781,0.0390769351015464,70121.3690412805,0.0159622545954518,6451165.95179781,0.0390769351015464,70121.3690412805,0.0159622545954518,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,10240536,262577.846153846,0.310911157955088,0.325348662308874,0.3688137159708,0.629963700317816,1.58739305057657,96842.3111716089,0.132012734611635
"2025","print_S",251489.275891857,3060687.71878089,0.0185396401590894,33268.3447693575,0.00757312352052241,3060687.71878089,0.0185396401590894,33268.3447693575,0.00757312352052241,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,2793216,77589.3333333333,0.0848043521333921,0.154358245081737,1.06529988487396,1.09575762088607,0.912610581883398,82655.9078674476,1.93491124964203
"2026","facebook_S",35580.0411190619,572157.459653715,0.00346575488614165,6219.10282232299,0.00141570114734599,572157.459653715,0.00346575488614165,6219.10282232299,0.00141570114734599,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,5988890.4119093,136111.145725211,0.181827675117088,0.0288553519657177,0.0923064496109258,0.0955364717504169,10.4672067293048,12563.9366143696,0.0672223301880877
"2027","search_S",212425.017838215,2948574.56691916,0.0178605321665087,32049.7235534691,0.00729571960828593,2948574.56691916,0.0178605321665087,32049.7235534691,0.00729571960828593,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,3666600,47618.1818181818,0.111321014032676,0.148704094458735,0.703890455564846,0.804171321365614,1.24351611830902,33517.9836931697,1.27430278286192
"2028","newsletter",323015.545024114,7808006.6833872,0.0472957869505951,84869.6378629043,0.0193195139443721,7808006.6833872,0.0472957869505951,84869.6378629043,0.0193195139443721,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2029","(Intercept)",1654206.46914146,152186995.161014,0.921849070019505,1654206.46914146,0.382064300106022,152186995.161014,0.921849070019505,1654206.46914146,0.382064300106022,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2030","trend",-0.593147133920493,-98244034.5495117,-0.595097970024392,0,0,-98244034.5495117,-0.595097970024392,0,0,FALSE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2031","season",0.346478282459651,-2792064.43810582,-0.0169124963862992,-30348.5265011502,-0.00700945665079457,-2792064.43810582,-0.0169124963862992,-30348.5265011502,-0.00700945665079457,FALSE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2032","holiday",1.04079013229827,4726853.92270159,0.0286321829808803,295428.370168849,0.068233703340917,4726853.92270159,0.0286321829808803,295428.370168849,0.068233703340917,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2033","competitor_sales_B",0.164984349841615,80754042.3573543,0.489155060645504,877761.329971243,0.202732412459763,80754042.3573543,0.489155060645504,877761.329971243,0.202732412459763,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2034","events",0.971656172806904,1236734.00427137,0.00749132401551691,1236734.00427137,0.285642645324979,1236734.00427137,0.00749132401551691,1236734.00427137,0.285642645324979,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2035","tv_S",464125.744243343,8438608.48318849,0.0511155593436594,91724.0052520488,0.0211850627616838,8438608.48318849,0.0511155593436594,91724.0052520488,0.0211850627616838,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,10247935.1,256198.3775,0.311135800761756,0.387180571297338,0.684147228346271,0.823444762368615,1.21441054178732,175277.409873437,0.525872111611534
"2036","ooh_S",299080.854681359,6310543.30262106,0.0382251352599758,68592.8619850116,0.0158425712239983,6310543.30262106,0.0382251352599758,68592.8619850116,0.0158425712239983,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,10240536,262577.846153846,0.310911157955088,0.289540599729568,0.372641319485135,0.616231738516525,1.62276614055507,97847.355058334,0.151098631235072
"2037","print_S",201798.111983688,3500874.12077429,0.0212060008746258,38052.9795736336,0.00878891799721633,3500874.12077429,0.0212060008746258,38052.9795736336,0.00878891799721633,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,2793216,77589.3333333333,0.0848043521333921,0.16062724616527,1.5013182821062,1.25334887125603,0.797862449102347,116486.284629765,1.88416502230393
"2038","facebook_S",50356.6864306128,1138290.03435899,0.00689501496810624,12372.7177647716,0.00285766852045998,1138290.03435899,0.00689501496810624,12372.7177647716,0.00285766852045998,TRUE,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,4,180,1,5,1794,"5_180_4",1,5988890.4119093,136111.145725211,0.181827675117088,0.0522270687973254,0.168694027712086,0.190066933282904,5.26130444011298,22961.1373888925,0.144612682041043
